Field,ID,RA,DEC,X,Y,FWHM,FWHM_n,ISOarea,KRON_RADIUS,MU_MAX_INST,PETRO_RADIUS,SEX_FLAGS_DET,SEX_NUMBER_DET,CLASS_STAR,s2n_DET_PStotal,THETA,ELLIPTICITY,ELONGATION,FLUX_RADIUS_20,FLUX_RADIUS_50,FLUX_RADIUS_70,FLUX_RADIUS_90,s2n_r_PStotal,s2n_J0660_PStotal,s2n_i_PStotal,FWHM_r,FWHM_n_r,FWHM_J0660,FWHM_n_J0660,FWHM_i,FWHM_n_i,SEX_FLAGS_r,SEX_FLAGS_J0660,SEX_FLAGS_i,CLASS_STAR_r,CLASS_STAR_J0660,CLASS_STAR_i,r_PStotal,e_r_PStotal,g_PStotal,e_g_PStotal,i_PStotal,e_i_PStotal,u_PStotal,e_u_PStotal,z_PStotal,e_z_PStotal,J0378_PStotal,e_J0378_PStotal,J0395_PStotal,e_J0395_PStotal,J0410_PStotal,e_J0410_PStotal,J0430_PStotal,e_J0430_PStotal,J0515_PStotal,e_J0515_PStotal,J0660_PStotal,e_J0660_PStotal,J0861_PStotal,e_J0861_PStotal,r_psf,e_r_psf,g_psf,e_g_psf,i_psf,e_i_psf,u_psf,e_u_psf,z_psf,e_z_psf,J0378_psf,e_J0378_psf,J0395_psf,e_J0395_psf,J0410_psf,e_J0410_psf,J0430_psf,e_J0430_psf,J0515_psf,e_J0515_psf,J0660_psf,e_J0660_psf,J0861_psf,e_J0861_psf
b'HYDRA-0011',b'iDR4_3_HYDRA-0011_0001534',151.22806509685867,-24.565880501711725,2768.843,1194.1807,0.00034385797,1.1095189,7.11902e-06,2.7084746,13.556797,2.73,0,1534,0.99946886,-1.0,19.11767,0.050825,1.0535465,0.6930973,1.3311085,1.8342896,3.3513632,396.44156,311.5012,465.47052,0.0003215797,1.1107576,0.00029769226,1.0268779,0.0003416074,1.0808619,0,0,0,1,1.0,1,15.220734,0.0027043421,16.171457,0.004696715,14.812934,0.002309852,18.507275,0.025390862,14.589712,0.0025600463,17.93026,0.026516791,17.468056,0.028265588,16.697994,0.0151754785,16.477058,0.013060188,15.688791,0.0071894857,14.816056,0.0034417643,14.48672,0.0042555453,15.310657,0.035,16.537031,0.039,14.877111,0.031,18.513748,0.04,14.671144,0.033,18.019747,0.053,17.582748,0.054,16.86903,0.045,16.61203,0.04,15.7900305,0.034,14.886657,0.028,14.564144,0.031
b'HYDRA-0021',b'iDR4_3_HYDRA-0021_0019499',151.82060173402922,-25.61948559071117,1653.609,3400.8994,0.00030652122,1.0818896,2.49049e-05,2.232373,11.276876,2.73,0,19499,0.99780864,-1.0,14.984217,0.0393883,1.0410033,0.69312817,1.2922589,1.8590598,3.7153783,1109.5508,977.2835,1057.9012,0.00030071154,1.0321856,0.0002989114,0.9819592,0.00029794377,1.0436057,0,0,0,1,1.0,1,13.060103,0.0009554346,13.233669,0.0010887927,13.076601,0.0010019763,14.610666,0.0035690186,13.112734,0.0012343866,13.971252,0.0031952565,13.690886,0.0037589988,13.328466,0.0028049813,13.250656,0.0025030326,13.034685,0.0020050176,12.990587,0.0010847448,12.979302,0.0016113875,13.104432,0.02,13.30495,0.033,13.154726,0.039,14.620728,0.016,13.191549,0.035,13.978727,0.019,13.706727,0.02,13.345949,0.016,13.265827,0.014,13.113828,0.012,13.033432,0.02,13.01997,0.019
b'HYDRA-0023',b'iDR4_3_HYDRA-0023_0021195',154.612703778342,-25.530006066611485,3569.1528,3993.6829,0.0003166003,0.94935197,1.2837578e-05,2.5323203,11.768962,2.73,2,21195,0.9995506,-1.0,27.581701,0.060398042,1.0642804,0.7224809,1.3692318,1.9697299,3.7162187,697.82733,656.14514,730.85406,0.0003344669,0.9668246,0.00031478456,0.9598522,0.0003064041,0.91063297,2,2,2,1,1.0,1,14.198063,0.0016022029,14.808924,0.0024485157,14.000414,0.0014943366,16.387249,0.007845838,13.904016,0.0017224029,16.096981,0.009324513,15.934842,0.011699319,15.441872,0.008098581,15.274127,0.007046142,14.653158,0.004443044,14.003431,0.0017039843,13.810323,0.002373825,14.280206,0.017,14.86215,0.008,14.049938,0.01,16.476755,0.011,13.96817,0.017,16.179756,0.013,16.015755,0.014,15.50415,0.011,15.33615,0.009,14.71715,0.007,14.074205,0.016,,
b'HYDRA-0026',b'iDR4_3_HYDRA-0026_0046098',158.45938935931406,-24.620631567398764,8485.773,9943.1,0.00036691,1.218677,7.749229e-06,2.7426915,12.246338,2.73,0,46098,0.97629976,-1.0,-68.71014,0.08718169,1.0955082,0.76227474,1.3928413,1.9883195,3.6374023,501.51773,478.33127,559.82434,0.0004373824,1.2862927,0.00039947577,1.2193235,0.00033673647,1.151883,0,0,0,1,,1,14.722768,0.0022326636,15.341463,0.0034690013,14.474484,0.0020145355,17.200853,0.011626997,14.391745,0.0023177376,16.875017,0.013714059,16.729393,0.017531464,16.043348,0.012882135,15.896696,0.010536257,15.205017,0.0062549287,14.518179,0.0023408893,14.313604,0.0030881742,14.61373,0.033,,,14.452834,0.03,17.257149,0.027,14.51903,0.024,16.653149,0.035,,,,,,,15.129318,0.027,,,,
b'HYDRA-0031',b'iDR4_3_HYDRA-0031_0032774',150.91773649063074,-26.66784699732685,9368.156,5633.471,0.000383771,1.078957,7.5858416e-06,2.9175823,13.851416,2.73,0,32774,0.92818826,-1.0,55.197166,0.038932264,1.0405093,0.8662776,1.637447,2.322313,4.1649547,247.10074,219.01671,406.20013,0.00037313133,0.9901714,0.00033726933,0.97599465,0.00040081705,1.2025574,0,0,0,1,1.0,1,15.091292,0.00428348,15.484464,0.0054223915,15.12834,0.0026568426,16.868654,0.010217603,15.0732765,0.0032762748,16.484432,0.01075797,16.317368,0.015872844,15.82942,0.012323832,15.745643,0.00963951,15.084617,0.007133971,15.035774,0.004832741,15.058778,0.0044920933,15.120949,0.019,15.52182,0.018,15.209405,0.032,16.868793,0.016,15.138535,0.031,16.523792,0.023,16.340794,0.025,15.852819,0.022,15.77582,0.015,15.20482,0.023,15.071949,0.02,15.141534,0.03
b'HYDRA-0033',b'iDR4_3_HYDRA-0033_0017375',154.58076785857276,-27.094394039528225,6409.99,2850.935,0.00035315644,1.0320508,2.3924576e-05,2.3963838,11.240878,2.73,2,17375,0.99869186,-1.0,17.492619,0.06652576,1.0712669,0.79746526,1.4614472,2.157984,3.9421012,1253.7745,1104.5254,1313.5698,0.00033921842,1.0157262,0.00036129038,1.0511478,0.0003459675,1.0446461,2,2,2,1,,1,13.543561,0.0008637211,14.003381,0.0012561595,13.419039,0.0008142423,15.431086,0.0030613162,13.37143,0.0009622465,15.021745,0.0038806028,14.896468,0.004738879,14.456609,0.0034652108,14.340868,0.0031163846,13.867241,0.0021294472,13.418159,0.0009804317,13.264386,0.001283905,13.594876,0.014,,,13.470609,0.019,15.455799,0.01,13.424772,0.02,,,,,,,14.363116,0.012,,,,,13.312773,0.019
b'HYDRA-0036',b'iDR4_3_HYDRA-0036_0040710',159.64736826997392,-26.3351640060497,4481.6245,7820.3936,0.0003006587,1.0187961,3.2677472e-06,3.0295393,14.361488,2.73,0,40710,0.97907144,-1.0,-13.649952,0.062855005,1.0670707,0.70828855,1.2138722,1.7941469,3.2369733,291.92136,247.19704,300.5396,0.00030796553,1.0209187,0.00044055213,1.0832542,0.00027912532,0.98298275,0,0,0,1,1.0,1,15.919583,0.0037895583,16.438158,0.0055271774,15.751708,0.0036628896,17.84503,0.02059822,15.682138,0.0049807383,17.506407,0.026420595,17.476522,0.036824215,16.886688,0.021515815,16.825829,0.019795539,16.264263,0.011181928,15.745938,0.0044751875,15.729428,0.007574752,15.960639,0.014,16.469856,0.015,15.7973,0.015,17.882185,0.042,15.730005,0.025,17.578186,0.042,17.591187,0.044,16.936857,0.035,16.853857,0.029,16.287857,0.022,15.831639,0.032,15.777005,0.02
b'HYDRA-0039',b'iDR4_3_HYDRA-0039_0000232',164.07431955776153,-27.370735348790564,6292.2847,1042.1211,0.00057295104,1.4992452,6.558835e-06,3.3936007,13.5687065,3.3,1,232,0.98528373,-1.0,-2.9482841,0.16433042,1.1966453,1.0569013,1.957782,2.7836475,4.965493,412.2729,525.7405,427.47,0.00067124586,1.5797144,0.0005221581,1.5750966,0.0006862477,1.8828883,1,1,1,1,1.0,1,14.53943,0.0026341775,14.948975,0.0030883274,14.424721,0.0025405292,16.469032,0.13274233,14.261285,0.0027590888,16.250036,0.01125864,16.056585,0.013817899,15.537045,0.0087870015,15.415464,0.0074564256,14.804736,0.0048033493,14.224333,0.0020656579,14.070612,0.0028861267,14.68367,0.046,14.99067,0.019,14.58667,0.048,16.42067,0.029,14.40367,0.047,16.25567,0.019,,,,,,,,,14.27667,0.039,,
b'HYDRA-0039',b'iDR4_3_HYDRA-0039_0012572',164.6965833836716,-27.092434874239977,2668.0107,2858.8516,0.00038440892,1.0058856,2.4064622e-05,2.505996,11.9215,2.73,0,12572,0.9642331,-1.0,24.450817,0.044133723,1.0461714,0.89617735,1.6644641,2.4863527,4.6463256,951.2119,990.5656,990.93567,0.00043220553,1.0171553,0.00032720974,0.9870323,0.00035131242,0.9639115,0,0,0,1,1.0,1,13.252631,0.0011333079,13.624152,0.0014247712,13.147163,0.0010817236,15.096186,0.0041377004,13.110721,0.0012831074,14.206917,0.0038476726,13.863134,0.0042217663,13.514134,0.0031126735,13.407104,0.0026970534,13.112711,0.0020551533,12.9454365,0.0010882834,12.873913,0.001547707,13.320676,0.011,13.672106,0.009,13.211755,0.014,15.134755,0.01,13.170553,0.013,14.259755,0.01,13.909755,0.012,13.568106,0.012,13.464106,0.015,13.165106,0.017,13.004676,0.017,12.925553,0.013
b'HYDRA-0040',b'iDR4_3_HYDRA-0040_0031328',151.48382854361105,-28.15482741571683,4597.948,4992.253,0.00035018355,1.0168781,2.420467e-05,2.6322546,11.3467045,2.73,2,31328,0.91653574,-1.0,-19.760973,0.040197253,1.0418807,0.87281257,1.681463,2.5900712,4.9734497,867.02057,1215.7264,881.507,0.00038956825,1.1557348,0.00032205103,1.0051934,0.00032842523,1.0131881,2,2,2,1,1.0,1,13.406342,0.0013017068,13.763854,0.001108,13.27761,0.0012364228,15.084392,0.003075971,13.179695,0.00092143787,14.602819,0.0034878082,14.560026,0.005766375,14.141369,0.003200648,14.04661,0.002820651,13.590819,0.0021232257,13.286317,0.0009283392,13.206873,0.0013270116,13.514109,0.023,13.83769,0.01,13.348046,0.017,15.193877,0.009,13.242832,0.018,14.719877,0.01,14.674877,0.012,14.221691,0.01,14.126691,0.009,13.673691,0.009,13.366109,0.015,13.272833,0.023
b'HYDRA-0041',b'iDR4_3_HYDRA-0041_0000423',152.17165754365155,-28.750619000964303,9797.385,1079.4001,0.00034257997,1.0746009,5.1817133e-06,3.093756,14.190207,3.3,0,423,0.88129485,-1.0,-22.944534,0.0340544,1.035255,0.799686,1.5593323,2.252269,4.1679068,350.71036,322.15408,357.01218,0.00033810645,1.066062,0.00038113855,0.90596396,0.0003532434,1.0827955,0,0,0,1,,1,15.405274,0.0032339918,15.893567,0.004574801,15.257553,0.0032643287,17.431215,0.014013943,15.228558,0.003868245,17.080936,0.01772166,16.772905,0.021415833,16.21227,0.013639806,16.067007,0.011529722,15.521366,0.007335432,15.16533,0.0035206582,14.952677,0.0047656847,15.479428,0.016,,,15.329691,0.018,17.455568,0.028,15.306087,0.026,17.11957,0.028,16.805569,0.03,,,16.165272,0.019,15.621271,0.014,,,,
b'HYDRA-0041',b'iDR4_3_HYDRA-0041_0001860',153.0701211338941,-28.72774498858516,4640.811,1242.1056,0.0003168465,0.99388045,1.2930942e-05,2.6683662,12.433148,2.73,2,1860,0.99305624,-1.0,12.261359,0.038680494,1.0402368,0.7538477,1.4635004,2.2230804,4.2482057,700.031,598.832,714.5331,0.00031517257,0.9937506,0.00041397382,0.98401314,0.00032579328,0.9986528,2,2,2,1,1.0,1,13.975986,0.0015321858,14.505033,0.002119873,13.80554,0.0014926838,15.998714,0.0057931836,13.72777,0.0017374775,15.517138,0.0069672586,15.2703495,0.008684285,14.786798,0.0059626237,14.682732,0.005240208,14.172878,0.0035589233,13.813813,0.0017911163,13.66774,0.0024498596,14.019752,0.014,14.601087,0.012,13.8448,0.012,15.99651,0.014,13.767111,0.014,15.52451,0.012,15.28451,0.012,14.819087,0.011,14.727087,0.01,14.235086,0.01,13.881751,0.012,13.723111,0.012
b'HYDRA-0044',b'iDR4_3_HYDRA-0044_0008430',157.31130289267037,-28.554586603532908,7730.24,2372.5496,0.00028697003,0.9714221,6.3954476e-06,2.784628,13.430489,2.73,3,8430,0.9555331,-1.0,53.511414,0.10788542,1.1209322,0.70254576,1.2934067,1.9002956,3.5410204,450.54364,479.4483,469.4322,0.0002954182,0.9783825,0.00043862622,0.9915629,0.00026423472,0.9382211,3,3,3,1,1.0,1,15.0239525,0.0023779713,15.684036,0.0035370719,14.797656,0.0022736047,17.311005,0.011111553,14.653289,0.0026843965,16.78294,0.012545982,16.473166,0.014654313,15.771645,0.009144697,15.603427,0.00794716,14.940434,0.0049314615,14.374279,0.0022346096,14.133531,0.0029412417,15.064028,0.016,15.70277,0.011,14.833097,0.015,17.31093,0.018,14.702435,0.023,16.77493,0.018,16.47793,0.019,15.781771,0.015,15.628771,0.014,14.963771,0.009,14.417028,0.013,14.171434,0.012
